670.06,8.01,7.9,3.0
10234.0,8.37,7.39,2.0
430.6,7.73,6.78,3.0
292.96,7.46,6.5,2.0
250.53,7.69,6.5,2.0
263.87,9.14,7.42,2.0
723.55,13.83,10.27,1.0
407.65,14.78,10.67,2.0
274.77,13.45,10.53,2.0
211.04,12.58,9.93,2.0
176.7,10.24,8.9,3.0
138.06,9.54,8.01,3.0
99.3,7.65,6.19,3.0
96.19,8.14,5.78,3.0
35.07,12.25,11.98,2.0
31.1,10.97,10.36,2.0
26.47,9.69,8.76,3.0
24.86,9.91,8.55,3.0
26.33,11.38,9.66,2.0
31.73,13.96,11.94,2.0
35.24,15.51,13.57,1.0
30.97,13.68,11.93,2.0
34.53,14.06,11.98,3.0
33.32,12.91,11.16,2.0
33.91,12.57,10.87,3.0
34.36,12.64,10.62,2.0
25.45,10.12,8.48,3.0
23.72,10.52,8.32,3.0
22.11,9.63,7.67,2.0
22.42,9.63,7.43,3.0
39.51,12.55,12.23,2.0
25.13,9.14,7.19,1.0
22.5,8.09,6.37,3.0
45.1,9.71,7.35,3.0
44.25,8.66,6.58,1.0
47.8,8.35,6.32,3.0
54.98,7.89,6.11,2.0
23.65,5.99,5.48,2.0
23.71,5.63,5.19,3.0
26.91,6.74,4.92,2.0
26.91,6.41,4.77,2.0
25.25,5.81,4.52,2.0
22.62,5.03,4.09,2.0
39.44,5.23,4.63,3.0
35.41,5.12,4.59,2.0
26.33,4.04,3.55,2.0
26.66,3.9,3.45,3.0
14.78,3.21,3.13,2.0
16.29,3.61,3.61,2.0
15.71,3.67,3.67,1.0
13.62,3.29,3.46,2.0
13.1,3.3,3.53,2.0
11.69,3.09,3.2,2.0
10.4,2.86,2.94,2.0
11.09,3.04,3.13,3.0
12.16,2.58,2.64,2.0
12.0,2.53,2.55,3.0
13.11,2.97,2.85,2.0
12.38,3.13,2.85,1.0
9.43,3.17,3.02,2.0
7.52,2.71,2.45,2.0
7.18,2.8,2.37,3.0
7.62,3.01,2.52,2.0
7.92,3.14,2.51,2.0
9.24,3.77,2.85,2.0
8.17,3.46,2.55,2.0
8.43,3.32,2.53,3.0
11.63,4.3,3.37,2.0
12.84,4.62,3.55,1.0
39.87,12.84,10.53,2.0
31.92,10.47,8.42,3.0
34.15,11.34,9.25,3.0
36.83,12.13,10.3,2.0
40.67,14.03,11.91,1.0
46.44,16.03,13.89,1.0
66.85,21.5,20.43,2.0
54.9,21.92,21.21,1.0
43.72,17.38,16.95,2.0
40.01,16.25,16.28,3.0
44.14,17.28,18.06,2.0
64.66,21.04,20.12,2.0
51.0,17.05,15.69,2.0
52.29,15.93,14.52,3.0
51.59,14.2,13.64,3.0
50.53,13.47,13.19,3.0
50.54,13.26,13.28,2.0
48.61,12.99,13.65,2.0
48.16,13.07,13.84,2.0
54.44,14.54,15.33,2.0
57.44,14.04,15.34,2.0
55.62,11.94,13.59,2.0
53.53,10.54,12.44,3.0
48.64,9.36,11.27,3.0
49.09,8.97,10.92,3.0
45.17,7.72,9.68,2.0
44.31,6.84,8.86,3.0
52.2,6.99,9.31,3.0
56.52,6.85,9.48,2.0
54.24,6.02,8.5,2.0
75.59,6.5,9.74,3.0
91.36,5.73,8.93,2.0
114.62,5.96,9.31,3.0
150.37,5.41,9.02,2.0
149.79,5.33,8.89,2.0
115.25,4.84,7.79,2.0
124.78,5.18,8.45,3.0
93.08,4.19,6.99,2.0
129.67,6.0,9.79,3.0
51.99,3.36,5.59,1.0
38.31,3.12,5.1,3.0
27.68,2.89,4.53,2.0
20.85,2.57,3.94,2.0
19.92,2.4,3.56,3.0
19.9,2.51,3.59,2.0
21.08,2.72,3.9,2.0
16.62,2.33,3.28,2.0
13.79,2.24,3.16,3.0
18.42,3.17,4.42,2.0
20.18,3.21,4.55,1.0
18.66,2.69,3.87,2.0
30.78,2.79,4.13,3.0
45.83,3.25,5.22,2.0
48.13,3.52,5.91,1.0
47.41,3.75,6.31,2.0
27.06,7.35,3.05,1.0
24.17,6.78,2.66,2.0
26.91,7.89,3.05,3.0
26.4,7.85,2.95,2.0
28.27,8.38,3.15,2.0
31.02,9.22,3.5,2.0
36.12,10.49,4.17,2.0
35.62,10.26,4.17,1.0
30.48,8.7,3.67,2.0
28.62,8.16,3.42,3.0
29.43,8.22,3.46,3.0
29.06,8.32,3.35,2.0
25.13,7.41,2.8,2.0
22.32,6.86,2.49,3.0
25.36,7.74,2.81,3.0
25.31,8.0,2.8,2.0
23.25,7.55,2.56,2.0
21.9,7.0,2.32,3.0
23.56,7.5,2.41,3.0
24.64,9.32,2.5,2.0
23.06,9.09,2.39,2.0
25.91,9.0,2.54,2.0
23.99,8.7,2.41,2.0
21.8,7.77,2.17,3.0
20.02,8.12,2.07,3.0
18.33,8.18,2.05,2.0
15.88,8.57,2.02,2.0
15.84,8.02,1.96,2.0
17.85,8.84,2.07,2.0
15.34,7.74,1.77,2.0
19.86,9.55,1.93,3.0
17.24,8.03,1.69,2.0
17.83,8.41,1.74,3.0
16.47,7.74,1.62,2.0
15.96,8.08,1.58,2.0
15.24,7.2,1.5,2.0
15.56,7.44,1.55,2.0
15.91,8.01,1.61,2.0
12.96,7.97,1.51,2.0
12.15,7.35,1.41,2.0
14.18,7.93,1.62,2.0
13.21,7.0,1.46,1.0
14.14,7.6,1.35,3.0
13.01,7.31,1.22,2.0
11.97,6.91,1.14,3.0
12.67,6.61,1.21,2.0
13.09,7.63,1.21,2.0
12.5,6.75,1.16,2.0
14.45,7.6,1.31,2.0
13.73,7.03,1.23,2.0
12.17,7.17,1.09,3.0
10.72,6.01,0.95,3.0
12.23,5.96,0.99,3.0
13.19,6.37,1.08,2.0
13.38,6.83,1.11,2.0
49.27,2.76,3.67,2.0
25.46,3.35,4.81,1.0
24.46,4.41,4.65,3.0
